time,x,y,z,MF
0.014,2.88,-37.02,-5.40,37.52
0.019,2.94,-37.02,-5.34,37.52
0.027,3.00,-37.02,-5.34,37.52
0.037,3.06,-37.02,-5.34,37.53
0.047,3.12,-37.02,-5.34,37.53
0.074,3.18,-37.02,-5.28,37.53
0.075,3.24,-37.02,-5.28,37.53
0.091,3.24,-37.02,-5.22,37.53
0.092,3.24,-37.08,-5.16,37.58
0.108,3.24,-37.08,-5.16,37.58
0.109,3.24,-37.08,-5.10,37.57
0.126,3.24,-37.08,-5.04,37.56
0.142,3.24,-37.08,-4.98,37.55
0.144,3.24,-37.08,-4.98,37.55
0.159,3.18,-37.08,-5.04,37.56
0.160,3.18,-37.08,-5.04,37.56
0.176,3.18,-37.14,-5.10,37.62
0.178,3.18,-37.14,-5.10,37.62
0.194,3.12,-37.14,-5.16,37.63
0.210,3.12,-37.14,-5.22,37.63
0.211,3.12,-37.14,-5.22,37.63
0.226,3.06,-37.20,-5.22,37.69
0.227,3.06,-37.20,-5.22,37.69
0.246,3.06,-37.20,-5.22,37.69
0.247,3.06,-37.26,-5.22,37.75
0.260,3.06,-37.26,-5.22,37.75
0.277,3.00,-37.26,-5.22,37.74
0.279,3.00,-37.26,-5.22,37.74
0.294,3.00,-37.26,-5.22,37.74
0.310,2.94,-37.26,-5.22,37.74
0.311,2.94,-37.26,-5.22,37.74
0.328,2.88,-37.26,-5.22,37.73
0.329,2.88,-37.26,-5.22,37.73
0.345,2.82,-37.32,-5.22,37.79
0.345,2.82,-37.32,-5.22,37.79
0.361,2.82,-37.32,-5.28,37.80
0.377,2.82,-37.32,-5.28,37.80
0.378,2.82,-37.32,-5.34,37.81
0.394,2.82,-37.32,-5.34,37.81
0.412,2.82,-37.32,-5.40,37.81
0.414,2.82,-37.32,-5.40,37.81
0.429,2.82,-37.32,-5.46,37.82
0.430,2.82,-37.26,-5.52,37.77
0.445,2.88,-37.20,-5.52,37.72
0.447,2.88,-37.14,-5.52,37.66
0.463,2.88,-37.14,-5.52,37.66
0.479,2.88,-37.14,-5.46,37.65
0.481,2.88,-37.14,-5.46,37.65
0.498,2.88,-37.08,-5.46,37.59
0.500,2.88,-37.08,-5.40,37.58
0.513,2.88,-37.14,-5.40,37.64
